,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
745,Eldoret,Jute,2016,32344,166.6415254,8,24.97042599
746,Central,Jute,2016,111301,150.6326874,8,26.12797248
747,Nakuru,Jute,2016,21600,163.3488091,8,25.97825807
748,Nairobi,Jute,2017,32261,186.6898282,8,26.2830571
749,Eldoret,Jute,2017,134416,176.1516409,8,26.38905406
750,Central,Jute,2017,22257,168.0432282,8,25.2746335
751,Nakuru,Jute,2020,32667,155.3851533,23,23.09499564
752,Nairobi,Jute,2020,131195,193.2418382,23,25.79351957
753,Eldoret,Jute,2020,17842,160.6217342,23,23.17403323
754,Central,Jute,2021,18261,182.2582277,23.9,25.63215038
755,Nakuru,Jute,2021,131196,152.6194403,23.9,25.848795
756,Nairobi,Jute,2021,25480,181.2915605,23.9,26.56767277
757,Eldoret,Jute,2022,22239,189.9711184,32,26.24532085
758,Central,Jute,2022,129626,177.2233048,32,26.91515043
759,Nakuru,Jute,2022,23569,159.9210934,32,24.36972377
760,Nairobi,Jute,2019,45548,187.1735424,41.46,25.71901283
761,Eldoret,Jute,2019,109362,169.4168014,41.46,25.01157559
762,Central,Jute,2019,17009,188.6372826,41.46,25.40785911
763,Nakuru,Jute,2023,26082,153.7447398,50.92,23.28081
764,Nairobi,Jute,2023,134409,167.0576456,50.92,23.98651719
765,Eldoret,Jute,2023,20651,192.2316221,50.92,24.48556447
766,Central,Jute,2014,40303,154.8390847,60.38,25.86705009
767,Nakuru,Jute,2014,130618,185.25947,60.38,23.5643831
768,Nairobi,Jute,2014,19466,192.4931257,60.38,24.2248758
769,Eldoret,Jute,2000,23178,176.5268267,69.85,25.49386782
770,Central,Jute,2000,87349,195.7571622,69.85,24.97178693
771,Nakuru,Jute,2000,16679,156.3616174,69.85,24.80624984
772,Nairobi,Jute,2001,37913,157.1215052,79.31,23.16814977
773,Eldoret,Jute,2001,114619,175.1742112,79.31,24.25133493
774,Central,Jute,2001,22263,154.8238864,79.31,26.58361011
775,Nakuru,Jute,2002,37380,153.9202307,88.77,26.82489244
776,Nairobi,Jute,2002,122814,169.9288234,88.77,25.49674786
777,Eldoret,Jute,2002,23877,176.8604109,88.77,24.09874353
778,Central,Jute,2004,61791,176.103677,204.77,23.18866654
779,Nakuru,Jute,2004,161509,183.4065252,204.77,26.24347471
780,Nairobi,Jute,2004,23416,160.0889553,204.77,23.75091572
781,Eldoret,Jute,2005,44692,171.4892533,220.51,26.13871511
782,Central,Jute,2005,164459,193.1007598,220.51,26.14576648
783,Nakuru,Jute,2005,20252,171.4716375,220.51,26.91643698
784,Nairobi,Jute,2006,33271,157.8548562,227.55,26.5232969
785,Eldoret,Jute,2006,163418,190.312216,227.55,23.81579631
786,Central,Jute,2006,14627,152.9801697,227.55,26.50838667
787,Nakuru,Jute,2007,53262,199.3355744,241.71,26.63952463
788,Nairobi,Jute,2007,184719,187.3096148,241.71,23.3250131
789,Eldoret,Jute,2007,25837,180.2513601,241.71,26.47549543
790,Central,Jute,2008,53424,172.6442654,218.2,23.78756036
791,Nakuru,Jute,2008,189096,193.7141828,218.2,25.49941707
792,Nairobi,Jute,2008,24322,184.7674863,218.2,23.24925555
793,Eldoret,Jute,2009,57763,193.8778713,198.36,26.98582182
794,Central,Jute,2009,185496,150.2355238,198.36,23.61475336
795,Nakuru,Jute,2009,22374,177.5147313,198.36,23.87484465
796,Nairobi,Jute,2010,46724,154.6608736,278.72,23.92887902
797,Eldoret,Jute,2010,170146,190.7886386,278.72,24.81441246
798,Central,Jute,2010,21192,190.9684885,278.72,24.44743944
799,Nakuru,Jute,2011,54257,159.3223075,278.72,26.57421679
800,Nairobi,Coffee,2011,194426,191.6549412,278.72,26.33377983
801,Eldoret,Coffee,2011,28800,144.6861336,278.72,26.45288458
802,Central,Coffee,2012,62215,136.7325092,278.72,25.70822684
803,Nakuru,Coffee,2012,207151,147.2757818,278.72,24.12832546
804,Nairobi,Coffee,2012,26010,122.2103248,278.72,23.44372334
805,Eldoret,Coffee,2013,67114,139.3670753,278.72,23.4123707
806,Central,Coffee,2013,215290,164.4971875,278.72,23.05951896
807,Nakuru,Coffee,2013,31273,129.8765443,278.72,23.07895447
808,Nairobi,Coffee,2018,41821,122.8392822,17866,27.6496114
809,Eldoret,Coffee,2018,41821,171.3764462,17866,25.46743689
810,Central,Coffee,2018,41821,140.6305213,17866,26.7350622
811,Nakuru,Coffee,2018,41821,189.0944824,17866,26.20811417
812,Nairobi,Coffee,2018,41821,165.6872119,17866,27.0424167
813,Eldoret,Coffee,2018,41821,135.1386537,17866,24.65090184
814,Central,Coffee,2018,289832,148.9812525,17866,27.35152643
815,Nakuru,Coffee,2018,289832,135.0119649,17866,25.17787724
816,Nairobi,Coffee,2018,289832,161.8944624,17866,23.11438731
817,Eldoret,Coffee,2018,289832,175.7260273,17866,27.22783677
818,Central,Coffee,2018,289832,194.1755471,17866,23.26316991
819,Nakuru,Coffee,2018,289832,124.2261737,17866,25.234661
820,Nairobi,Coffee,2018,88000,195.7733251,17866,25.59535262
821,Eldoret,Coffee,2018,88000,190.2257843,17866,25.5674832
822,Central,Coffee,2018,88000,196.2736367,17866,25.67324193
823,Nakuru,Coffee,2018,88000,148.6977358,17866,24.40726724
824,Nairobi,Coffee,2018,88000,144.6576424,17866,23.69287069
825,Eldoret,Coffee,2018,88000,180.5059257,17866,24.53460016
826,Central,Coffee,2018,24883,192.4280381,17866,27.13140403
827,Nakuru,Coffee,2018,24883,167.4358075,17866,27.56088634
828,Nairobi,Coffee,2018,24883,191.3980675,17866,23.59302313
829,Eldoret,Coffee,2018,24883,117.3113562,17866,23.17714381
830,Central,Coffee,2018,24883,197.6439711,17866,24.71384065
831,Nakuru,Coffee,2018,24883,119.6324109,17866,24.38534644
832,Nairobi,Coffee,2018,15718,126.1752206,17866,27.15998538
833,Eldoret,Coffee,2018,15718,120.6494434,17866,26.53543168
834,Central,Coffee,2018,15718,191.4508931,17866,27.01207284
835,Nakuru,Coffee,2018,15718,117.9389993,17866,27.55906475
836,Nairobi,Coffee,2018,15718,168.2644287,17866,23.32293161
837,Eldoret,Coffee,2018,15718,115.1564012,17866,24.23850608
838,Central,Coffee,2018,137140,122.6847408,17866,23.42611644
839,Nakuru,Coffee,2018,137140,176.9020924,17866,26.02241444
840,Nairobi,Coffee,2018,137140,124.4135035,17866,24.83846178
841,Eldoret,Coffee,2018,137140,148.3771202,17866,26.24092174
842,Central,Coffee,2018,137140,181.6368274,17866,24.43011925
843,Nakuru,Coffee,2018,137140,153.477776,17866,26.00373964
844,Nairobi,Coffee,2018,16344,193.7461968,17866,26.22367404
845,Eldoret,Coffee,2018,16344,190.2440566,17866,27.09617155
846,Central,Coffee,2018,16344,199.4735636,17866,25.64004392
847,Nakuru,Coffee,2018,16344,139.8619431,17866,27.74576987
848,Nairobi,Coffee,2018,16344,133.1120232,17866,26.24928198
849,Eldoret,Coffee,2018,16344,156.1543898,17866,26.67377159
850,Central,Coffee,2015,39938,139.5013171,17866,27.10210397
851,Nakuru,Coffee,2015,39938,196.6492664,17866,27.62975458
852,Nairobi,Coffee,2015,39938,130.6377143,17866,27.5364547
853,Eldoret,Coffee,2015,39938,130.3797119,17866,23.56960509
854,Central,Coffee,2015,39938,192.8736822,17866,24.99451759
855,Nakuru,Coffee,2015,39938,177.816092,17866,27.56441788
856,Nairobi,Coffee,2015,285359,161.5279095,17866,23.98143338
857,Eldoret,Coffee,2015,285359,122.4073418,17866,24.22984659
858,Central,Coffee,2015,285359,168.8383605,17866,25.60153969
859,Nakuru,Coffee,2015,285359,184.4103931,17866,24.31274458
860,Nairobi,Coffee,2015,285359,177.3176161,17866,26.36629861
861,Eldoret,Coffee,2015,285359,152.0616227,17866,26.5602777
862,Central,Coffee,2015,88427,121.5586297,17866,26.35034208
863,Nakuru,Coffee,2015,88427,156.1457255,17866,25.20406808
864,Nairobi,Coffee,2015,88427,171.6976946,17866,23.35723208
865,Eldoret,Coffee,2015,88427,185.1568059,17866,23.60567546
866,Central,Coffee,2015,88427,163.2708732,17866,24.18471151
867,Nakuru,Coffee,2015,88427,175.3723314,17866,26.44414097
868,Nairobi,Coffee,2015,19865,147.8035305,17866,26.12492233
869,Eldoret,Coffee,2015,19865,192.7121236,17866,27.77363343
870,Central,Coffee,2015,19865,193.5866233,17866,25.55656667
871,Nakuru,Coffee,2015,19865,115.2325531,17866,27.92374437
872,Nairobi,Coffee,2015,19865,161.3432535,17866,26.05968403
873,Eldoret,Coffee,2015,19865,163.6269496,17866,26.35770906
874,Central,Coffee,2015,15551,129.5481144,17866,24.91370487
875,Nakuru,Coffee,2015,15551,192.4288139,17866,27.31317116
876,Nairobi,Coffee,2015,15551,136.3027766,17866,26.1387869
877,Eldoret,Coffee,2015,15551,162.5769606,17866,23.1069385
878,Central,Coffee,2015,15551,171.8839938,17866,23.52648086
879,Nakuru,Coffee,2015,15551,194.8773479,17866,25.11711046
880,Nairobi,Coffee,2015,151142,134.6803969,17866,24.02952505
881,Eldoret,Coffee,2015,151142,158.8608887,17866,26.70897548
882,Central,Coffee,2015,151142,126.8073984,17866,26.71717393
883,Nakuru,Coffee,2015,151142,137.7044047,17866,24.59245684
884,Nairobi,Coffee,2015,151142,143.9955548,17866,27.51006055
885,Eldoret,Coffee,2015,151142,156.6810374,17866,27.57847581
886,Central,Coffee,2015,14698,145.105065,17866,26.65069302
887,Nakuru,Coffee,2015,14698,142.8610793,17866,26.97251562
888,Nairobi,Coffee,2015,14698,153.1201644,17866,23.17124551
889,Eldoret,Coffee,2015,14698,186.1728203,17866,23.52652084
890,Central,Coffee,2015,14698,141.4831644,17866,27.30901814
891,Nakuru,Coffee,2015,14698,181.4170812,17866,27.54823036
892,Nairobi,Coffee,2016,51721,188.5506536,22234,25.627355
893,Eldoret,Coffee,2016,51721,183.468585,22234,23.29250318
894,Central,Coffee,2016,51721,166.2549307,22234,24.91461008
895,Nakuru,Coffee,2016,51721,177.7745075,22234,26.77463708
896,Nairobi,Coffee,2016,51721,127.92461,22234,27.41711238
897,Eldoret,Coffee,2016,51721,173.3228386,22234,24.13179691
898,Central,Coffee,2016,289220,127.1752928,22234,26.2724184
899,Nakuru,Coffee,2016,289220,140.9370415,22234,23.60301571
900,Nairobi,Tea,2016,289220,90.8022356,22234,24.40228894
901,Eldoret,Tea,2016,289220,71.29581071,22234,23.09595631
902,Central,Tea,2016,289220,90.75616738,22234,23.9656349
903,Nakuru,Tea,2016,289220,89.76050416,22234,24.88738107
904,Nairobi,Tea,2016,88346,88.43618918,22234,25.36243778
905,Eldoret,Tea,2016,88346,78.58494391,22234,24.69457084
906,Central,Tea,2016,88346,96.32600992,22234,25.0017188
907,Nakuru,Tea,2016,88346,64.23026638,22234,22.45942937
908,Nairobi,Tea,2016,88346,72.49800885,22234,23.60564038
909,Eldoret,Tea,2016,88346,71.94608134,22234,24.58453146
910,Central,Tea,2016,25431,71.84080724,22234,23.0865933
911,Nakuru,Tea,2016,25431,79.81328183,22234,23.5000992
912,Nairobi,Tea,2016,25431,69.91563467,22234,24.1472953
913,Eldoret,Tea,2016,25431,89.799462,22234,24.69315538
914,Central,Tea,2016,25431,90.94342484,22234,24.484692
915,Nakuru,Tea,2016,25431,64.02949379,22234,24.49112609
916,Nairobi,Tea,2016,21141,86.76287924,22234,23.47986888
917,Eldoret,Tea,2016,21141,69.08056728,22234,24.18586246
918,Central,Tea,2016,21141,86.06411872,22234,25.00755095
919,Nakuru,Tea,2016,21141,89.1188212,22234,25.99237426
920,Nairobi,Tea,2016,21141,99.36898373,22234,23.66457347
921,Eldoret,Tea,2016,21141,78.59595817,22234,25.66891439
922,Central,Tea,2016,127548,86.00758678,22234,22.04612876
923,Nakuru,Tea,2016,127548,93.46595573,22234,22.4204752
924,Nairobi,Tea,2016,127548,95.0191318,22234,25.03149561
925,Eldoret,Tea,2016,127548,87.54004943,22234,23.53371386
926,Central,Tea,2016,127548,81.49543437,22234,22.77076388
927,Nakuru,Tea,2016,127548,67.05961949,22234,25.49848236
928,Nairobi,Tea,2016,17812,86.55517751,22234,25.248679
929,Eldoret,Tea,2016,17812,64.61444234,22234,22.78249615
930,Central,Tea,2016,17812,71.67870701,22234,23.37044424
931,Nakuru,Tea,2016,17812,79.56866268,22234,24.86560781
932,Nairobi,Tea,2016,17812,80.36146974,22234,24.14386157
933,Eldoret,Tea,2016,17812,97.10087029,22234,25.03300222
934,Central,Tea,2017,44261,88.54479121,23899,23.65724079
935,Nakuru,Tea,2017,44261,88.94245493,23899,25.54359718
936,Nairobi,Tea,2017,44261,90.42224164,23899,22.00085141
937,Eldoret,Tea,2017,44261,80.96157332,23899,23.64328417
938,Central,Tea,2017,44261,84.63148859,23899,23.96436009
939,Nakuru,Tea,2017,44261,61.82980133,23899,24.65425757
940,Nairobi,Tea,2017,290981,65.0247867,23899,24.3017998
941,Eldoret,Tea,2017,290981,90.41694635,23899,24.29144926
942,Central,Tea,2017,290981,81.05902285,23899,24.29470232
943,Nakuru,Tea,2017,290981,99.93100821,23899,25.72180042
944,Nairobi,Tea,2017,290981,91.9223468,23899,24.87663664
945,Eldoret,Tea,2017,290981,75.13617229,23899,22.60612115
946,Central,Tea,2017,76400,90.4547185,23899,23.86814008
947,Nakuru,Tea,2017,76400,78.82202203,23899,23.41022496
948,Nairobi,Tea,2017,76400,80.03995829,23899,24.96440768
949,Eldoret,Tea,2017,76400,84.62419032,23899,25.16820129
950,Central,Tea,2017,76400,77.55176318,23899,22.72767171
951,Nakuru,Tea,2017,76400,86.84998693,23899,22.45145981
952,Nairobi,Tea,2017,12834,70.65644296,23899,23.04920461
953,Eldoret,Tea,2017,12834,62.64174227,23899,25.29250148
954,Central,Tea,2017,12834,66.48339303,23899,22.95604064
955,Nakuru,Tea,2017,12834,91.6389565,23899,22.80213132
956,Nairobi,Tea,2017,12834,84.12536744,23899,23.54234715
957,Eldoret,Tea,2017,12834,98.60457373,23899,24.41212325
958,Central,Tea,2017,16168,67.08022574,23899,22.94276687
959,Nakuru,Tea,2017,16168,95.4262599,23899,25.53676123
960,Nairobi,Tea,2017,16168,83.46532547,23899,25.32023717
961,Eldoret,Tea,2017,16168,65.54475812,23899,22.426733
962,Central,Tea,2017,16168,91.39578861,23899,25.78544484
963,Nakuru,Tea,2017,16168,66.19426787,23899,25.68959532
964,Nairobi,Tea,2017,132702,60.65381719,23899,22.14593688
965,Eldoret,Tea,2017,132702,93.51042684,23899,25.07278712
966,Central,Tea,2017,132702,70.40557612,23899,22.21506982
967,Nakuru,Tea,2017,132702,76.13090645,23899,23.9643129
968,Nairobi,Tea,2017,132702,62.5138867,23899,25.40059227
969,Eldoret,Tea,2017,132702,66.26555904,23899,23.7805123
970,Central,Tea,2017,19658,61.94626051,23899,24.16402322
971,Nakuru,Tea,2017,19658,72.82902109,23899,25.31468463
972,Nairobi,Tea,2017,19658,88.57395505,23899,22.60361557
973,Eldoret,Tea,2017,19658,99.75336197,23899,22.9535715
974,Central,Tea,2017,19658,90.07326633,23899,22.74446976
975,Nakuru,Tea,2017,19658,70.97358303,23899,23.80834611
976,Nairobi,Tea,2020,46620,76.88582484,21057,25.46228792
977,Eldoret,Tea,2020,46620,74.14169043,21057,25.96779712
978,Central,Tea,2020,46620,99.39557151,21057,25.5308271
979,Nakuru,Tea,2020,46620,60.79645852,21057,24.43847399
980,Nairobi,Tea,2020,46620,90.64770699,21057,23.03887865
981,Eldoret,Tea,2020,46620,80.11272117,21057,23.51308653
982,Central,Tea,2020,294270,97.76600619,21057,22.75805656
983,Nakuru,Tea,2020,294270,85.24963302,21057,24.71252544
984,Nairobi,Tea,2020,294270,93.50153555,21057,23.45969093
985,Eldoret,Tea,2020,294270,78.58488484,21057,25.5503704
986,Central,Tea,2020,294270,67.06459777,21057,22.08458267
987,Nakuru,Tea,2020,294270,69.31153566,21057,24.68854799
988,Nairobi,Tea,2020,81537,77.03421249,21057,25.84997269
989,Eldoret,Tea,2020,81537,71.85436078,21057,22.46054478
990,Central,Tea,2020,81537,74.8984994,21057,23.65629976
991,Nakuru,Tea,2020,81537,92.23645249,21057,22.00817088
992,Nairobi,Tea,2020,81537,69.45072055,21057,24.32630461
993,Eldoret,Tea,2020,81537,92.91915074,21057,22.92360984
994,Central,Tea,2020,21697,81.15072105,21057,23.43821725
995,Nakuru,Tea,2020,21697,74.94136567,21057,22.10718988
996,Nairobi,Tea,2020,21697,91.49697481,21057,23.03814028
997,Eldoret,Tea,2020,21697,63.88079866,21057,24.54795322
998,Central,Tea,2020,21697,76.63669195,21057,23.73868041
999,Nakuru,Tea,2020,21697,65.35747011,21057,22.31871914
1000,Nairobi,Mung bean,2020,20149,87.79470512,21057,32.82652632
1001,Eldoret,Mung bean,2020,20149,92.65212945,21057,33.84404645
1002,Central,Mung bean,2020,20149,113.880752,21057,33.78853283
1003,Nakuru,Mung bean,2020,20149,67.23507858,21057,31.35582182
1004,Nairobi,Mung bean,2020,20149,74.7400763,21057,30.76670006
1005,Eldoret,Mung bean,2020,20149,140.7710832,21057,32.7819781
1006,Central,Mung bean,2020,140961,70.63006003,21057,32.77342726
1007,Nakuru,Mung bean,2020,140961,124.2332626,21057,33.58425158
1008,Nairobi,Mung bean,2020,140961,86.12779501,21057,31.76211489
1009,Eldoret,Mung bean,2020,140961,134.0402553,21057,32.90132056
1010,Central,Mung bean,2020,140961,88.70815107,21057,30.74613799
1011,Nakuru,Mung bean,2020,140961,118.7825932,21057,31.11185433
1012,Nairobi,Mung bean,2020,11356,78.88233073,21057,31.21979884
1013,Eldoret,Mung bean,2020,11356,97.8462281,21057,30.30882059
1014,Central,Mung bean,2020,11356,87.25674074,21057,33.51211423
1015,Nakuru,Mung bean,2020,11356,73.85242301,21057,33.90671375
1016,Nairobi,Mung bean,2020,11356,142.3395293,21057,32.22298619
1017,Eldoret,Mung bean,2020,11356,103.6641416,21057,30.74909489
1018,Central,Mung bean,2021,48263,119.5739407,25598,30.92903852
1019,Nakuru,Mung bean,2021,48263,123.3663548,25598,33.54358553
1020,Nairobi,Mung bean,2021,48263,146.9837692,25598,33.30734071
1021,Eldoret,Mung bean,2021,48263,77.64621614,25598,31.39311394
1022,Central,Mung bean,2021,48263,147.1663393,25598,31.78145242
1023,Nakuru,Mung bean,2021,48263,87.37977788,25598,33.04183025
1024,Nairobi,Mung bean,2021,298183,127.5741458,25598,32.47161304
1025,Eldoret,Mung bean,2021,298183,78.49219686,25598,30.01930633
1026,Central,Mung bean,2021,298183,117.6456227,25598,33.85479475
1027,Nakuru,Mung bean,2021,298183,110.1438483,25598,30.44017124
1028,Nairobi,Mung bean,2021,298183,95.82254444,25598,33.79307329
1029,Eldoret,Mung bean,2021,298183,127.2706021,25598,30.04867399
1030,Central,Mung bean,2021,88003,95.50096772,25598,31.10665887
1031,Nakuru,Mung bean,2021,88003,103.5482877,25598,32.72230974
1032,Nairobi,Mung bean,2021,88003,85.80046176,25598,31.93586366
1033,Eldoret,Mung bean,2021,88003,72.17209056,25598,31.13028413
1034,Central,Mung bean,2021,88003,70.29511043,25598,33.59486982
1035,Nakuru,Mung bean,2021,88003,136.3398914,25598,32.85002372
1036,Nairobi,Mung bean,2021,18555,87.52461597,25598,32.15037675
1037,Eldoret,Mung bean,2021,18555,101.393541,25598,30.05462421
1038,Central,Mung bean,2021,18555,97.66232861,25598,33.88419129
1039,Nakuru,Mung bean,2021,18555,149.0994209,25598,30.47542476
1040,Nairobi,Mung bean,2021,18555,93.34182034,25598,31.89319111
1041,Eldoret,Mung bean,2021,18555,126.1587212,25598,33.58976713
1042,Central,Mung bean,2021,15318,71.10312453,25598,30.49359779
1043,Nakuru,Mung bean,2021,15318,142.7452391,25598,33.90789552
1044,Nairobi,Mung bean,2021,15318,78.75886433,25598,32.98326078
1045,Eldoret,Mung bean,2021,15318,119.5955807,25598,32.95235196
1046,Central,Mung bean,2021,15318,82.4178375,25598,32.13955691
1047,Nakuru,Mung bean,2021,15318,140.8926594,25598,31.13951861
1048,Nairobi,Mung bean,2021,155252,116.5480445,25598,31.36384449
1049,Eldoret,Mung bean,2021,155252,69.83661326,25598,33.27039046
1050,Central,Mung bean,2021,155252,91.42284219,25598,31.48464585
1051,Nakuru,Mung bean,2021,155252,85.935582,25598,30.32868693
1052,Nairobi,Mung bean,2021,155252,106.7865477,25598,30.14072116
1053,Eldoret,Mung bean,2021,155252,109.8769113,25598,30.35409044
1054,Central,Mung bean,2021,17899,97.74333417,25598,30.09238359
1055,Nakuru,Mung bean,2021,17899,103.5516648,25598,32.50671544
1056,Nairobi,Mung bean,2021,17899,105.0098275,25598,30.37577758
1057,Eldoret,Mung bean,2021,17899,108.7622349,25598,32.644546
1058,Central,Mung bean,2021,17899,67.08969169,25598,33.49032589
1059,Nakuru,Mung bean,2021,17899,128.7770732,25598,33.3074977
1060,Nairobi,Mung bean,2022,57689,131.9073179,31185,30.80653933
1061,Eldoret,Mung bean,2022,57689,116.6621186,31185,33.20857014
1062,Central,Mung bean,2022,57689,91.09923848,31185,32.38564029
1063,Nakuru,Mung bean,2022,57689,111.2690789,31185,33.01812495
1064,Nairobi,Mung bean,2022,57689,116.619875,31185,30.22263729
1065,Eldoret,Mung bean,2022,57689,97.97313591,31185,33.35838838
1066,Central,Mung bean,2022,312853,93.26646905,31185,32.69482712
1067,Nakuru,Mung bean,2022,312853,129.3792944,31185,30.0837019
1068,Nairobi,Mung bean,2022,312853,111.518131,31185,32.69435583
1069,Eldoret,Mung bean,2022,312853,105.6984707,31185,32.25730296
1070,Central,Mung bean,2022,312853,81.25674481,31185,31.19439265
1071,Nakuru,Mung bean,2022,312853,65.84424567,31185,33.62465186
1072,Nairobi,Mung bean,2022,63540,130.4551329,31185,32.2892277
1073,Eldoret,Mung bean,2022,63540,128.4178877,31185,31.31073691
1074,Central,Mung bean,2022,63540,72.14138861,31185,32.90794777
1075,Nakuru,Mung bean,2022,63540,137.2584875,31185,33.9451246
1076,Nairobi,Mung bean,2022,63540,70.40253021,31185,32.44221297
1077,Eldoret,Mung bean,2022,63540,120.0334337,31185,33.05783291
1078,Central,Mung bean,2022,20677,136.1704647,31185,33.11867553
1079,Nakuru,Mung bean,2022,20677,104.0508745,31185,32.48530015
1080,Nairobi,Mung bean,2022,20677,139.2140672,31185,31.87314342
1081,Eldoret,Mung bean,2022,20677,92.27743239,31185,30.89364513
1082,Central,Mung bean,2022,20677,76.12988501,31185,31.98314121
1083,Nakuru,Mung bean,2022,20677,136.8211936,31185,31.15162986
1084,Nairobi,Mung bean,2022,18740,125.0750643,31185,32.13848109
1085,Eldoret,Mung bean,2022,18740,87.08707124,31185,32.18074129
1086,Central,Mung bean,2022,18740,91.76258102,31185,33.48973659
1087,Nakuru,Mung bean,2022,18740,144.4624105,31185,32.14778175
1088,Nairobi,Mung bean,2022,18740,145.0687717,31185,32.81428175
1089,Eldoret,Mung bean,2022,18740,74.96498896,31185,32.29564207
1090,Central,Mung bean,2022,172474,141.4807496,31185,32.29968054
1091,Nakuru,Mung bean,2022,172474,111.3600691,31185,32.34541494
1092,Nairobi,Mung bean,2022,172474,86.43908839,31185,31.11863784
1093,Eldoret,Mung bean,2022,172474,137.6739042,31185,33.36681473
1094,Central,Mung bean,2022,172474,74.8939621,31185,33.34241882
1095,Nakuru,Mung bean,2022,172474,65.36465291,31185,30.72759238
1096,Nairobi,Mung bean,2022,21673,62.9183321,31185,30.34644308
1097,Eldoret,Mung bean,2022,21673,78.68708298,31185,30.66938267
1098,Central,Mung bean,2022,21673,118.7187187,31185,30.81100962
1099,Nakuru,Mung bean,2022,21673,142.867463,31185,31.92411618
1100,Nairobi,Peas,2022,21673,54.85580308,31185,18.35874828
1101,Eldoret,Peas,2022,21673,45.99370945,31185,17.52425417
1102,Central,Peas,2019,59403,52.48355178,34091,18.85702552
1103,Nakuru,Peas,2019,59403,51.95556521,34091,18.34155395
1104,Nairobi,Peas,2019,59403,45.67805393,34091,16.32948118
1105,Eldoret,Peas,2019,59403,45.56540569,34091,17.46779018
1106,Central,Peas,2019,59403,51.67280691,34091,18.26470433
1107,Nakuru,Peas,2019,59403,46.1097405,34091,18.38433704
1108,Nairobi,Peas,2019,313056,48.7163271,34091,18.81825767
1109,Eldoret,Peas,2019,313056,48.06256652,34091,17.36090568
1110,Central,Peas,2019,313056,51.8127218,34091,17.14322017
1111,Nakuru,Peas,2019,313056,49.0339523,34091,17.66028922
1112,Nairobi,Peas,2019,313056,51.35615089,34091,16.42019631
1113,Eldoret,Peas,2019,313056,52.72669732,34091,17.28602285
1114,Central,Peas,2019,83263,45.18564829,34091,18.962053
1115,Nakuru,Peas,2019,83263,46.3488367,34091,16.73504597
1116,Nairobi,Peas,2019,83263,47.61856621,34091,18.65610954
1117,Eldoret,Peas,2019,83263,53.04269309,34091,18.84223576
1118,Central,Peas,2019,83263,47.49309903,34091,18.55173319
1119,Nakuru,Peas,2019,83263,53.45447706,34091,18.65692282
1120,Nairobi,Peas,2019,26195,52.27762057,34091,17.15002523
1121,Eldoret,Peas,2019,26195,53.36948735,34091,17.39957146
1122,Central,Peas,2019,26195,52.21474302,34091,18.33800715
1123,Nakuru,Peas,2019,26195,52.78767506,34091,16.62933834
1124,Nairobi,Peas,2019,26195,47.85510842,34091,17.05222044
1125,Eldoret,Peas,2019,26195,51.79454288,34091,17.87353701
1126,Central,Peas,2019,18974,48.5097426,34091,17.51546271
1127,Nakuru,Peas,2019,18974,54.55312597,34091,18.46464224
1128,Nairobi,Peas,2019,18974,51.33339941,34091,17.76364079
1129,Eldoret,Peas,2019,18974,52.86630896,34091,16.59220149
1130,Central,Peas,2019,18974,54.56423739,34091,17.92114547
1131,Nakuru,Peas,2019,18974,47.76955888,34091,16.36778445
1132,Nairobi,Peas,2019,244444,45.28867111,34091,18.91712672
1133,Eldoret,Peas,2019,244444,51.08088743,34091,17.16304123
1134,Central,Peas,2019,244444,54.48267988,34091,16.82395992
1135,Nakuru,Peas,2019,244444,47.77481591,34091,18.27428157
1136,Nairobi,Peas,2019,244444,48.80448262,34091,18.43368618
1137,Eldoret,Peas,2019,244444,54.1520583,34091,16.77316869
1138,Central,Peas,2019,18412,54.68659162,34091,18.42826536
1139,Nakuru,Peas,2019,18412,50.88940602,34091,18.58666059
1140,Nairobi,Peas,2019,18412,47.20478352,34091,17.89552352
1141,Eldoret,Peas,2019,18412,54.02667562,34091,16.91291931
1142,Central,Peas,2019,18412,46.10634125,34091,18.87442726
1143,Nakuru,Peas,2019,18412,46.18698993,34091,18.14446321
1144,Nairobi,Peas,2023,47544,50.48756676,37215,18.47263108
1145,Eldoret,Peas,2023,47544,49.26975055,37215,17.24585394
1146,Central,Peas,2023,47544,53.05171654,37215,16.19061394
1147,Nakuru,Peas,2023,47544,45.65168769,37215,16.45986631
1148,Nairobi,Peas,2023,47544,49.33736173,37215,16.90502144
1149,Eldoret,Peas,2023,47544,49.58894017,37215,17.52100722
1150,Central,Peas,2023,322292,49.83286633,37215,18.94892359
1151,Nakuru,Peas,2023,322292,54.02878566,37215,18.04096846
1152,Nairobi,Peas,2023,322292,48.93248802,37215,16.6096627
1153,Eldoret,Peas,2023,322292,53.52940532,37215,16.92090842
1154,Central,Peas,2023,322292,48.73950137,37215,18.49529179
1155,Nakuru,Peas,2023,322292,51.87022091,37215,17.44404425
1156,Nairobi,Peas,2023,94256,51.58280526,37215,18.99235974
1157,Eldoret,Peas,2023,94256,54.72849867,37215,16.83267765
1158,Central,Peas,2023,94256,49.70826578,37215,16.89894636
1159,Nakuru,Peas,2023,94256,52.58368249,37215,18.69986334
1160,Nairobi,Peas,2023,94256,47.35890574,37215,18.39366334
1161,Eldoret,Peas,2023,94256,45.15647705,37215,17.04252547
